adulterant,source
leguminous plants,usp
lemon juice,usp
lemon oil,usp
lemon oil,ema
"lemon oil, rectified ho oil (cinnamomum spp.), acetylated ho oil, or bitter orange oil (citrus aurantium subsp. aurantium)",usp
lemon sole [microstomus kitt],ema
lemon yellow 60 (tartrazine),ema
leucine,usp
lime oil,usp
lime oil residue,usp
limestone,usp
limonene and (+)-carvone,usp
limonene and touches of alkyl phthalides,usp
linalol and linalyl acetate,usp
linalol and trace amounts of certain pyrazines,usp
"linalol, plus trace amounts of methyl heptenone, methyl heptenol, 3-octanol, and para-methyl acetophenone",usp
linalool (synthetic or from non-authentic botanical source),usp
linalool from non-authentic source,usp
linalyl aceate esters (synthetic or from non-authentic botanical source),usp
"linalyl acetate, 1,8-cineole, and alpha-terpinyl acetate",usp
linoleic acid,rasff
linseed oil,usp
lipase-catalyzed interesterified lard,usp
liquid sugar candy,ema
listeria,fda
lithium,rasff
locust bean gum,usp
logwood particles,usp
long grain rice,usp
low grade cooking oil,ema
low grade ground beef,ema
low quality quality local wine,ema
low-grade of molasses combined with glucose syrup,usp
low-grade sugar combined with glucose powder,usp
low-quality garlic oil combined with diallyl sulfide compounds,usp
low-quality onion oil combined with sulfur compounds,usp
lower cost beef,ema
lower cost meats,ema
lower quality oils,ema
lubricating oil contaminted with ortho-cresyl phophate,usp
lumpfish roe,usp
lupine,usp
lutjanidae and serranidae and unidentified taxa,ema
lycopene,rasff
lye,ema
lysine,usp
lysozyme,rasff
machine oil,usp
mackerel,ema
magnesium aspartate,rasff
mahi,ema
maize,usp
maize,ema
maize oil,usp
maize starch,usp
mako,ema
mako shark,usp
malabar snapper,ema
malachite green,ema
malachite green,usp
malchite green,usp
maleic anhydride,ema
malic acid,usp
malt,usp
maltodextrin,usp
maltodextrins,usp
maltol,usp
maltose,usp
mammalian protein,rasff
mandarin juice,ema
mandarin juice,usp
manganese,rasff
mango juice from non-authentic botanical origin,usp
maple flavoring,ema
margarine,usp
marigold (calendula officinalis) flowers,usp
marigold flower extract (tagetes erecta),usp
martius yellow color,usp
mash potato,usp
meat from non-authentic species,usp
meat processing waste,ema
melamine,ema
melamine,fda
melamine,rasff
melamine,usp
melamine analogues,ema
melamine and related compounds,usp
melatonin,rasff
menthyl salicilate,usp
mercury,ema
mercury,rasff
mercury droplets,rasff
merlot and syrah wine,usp
mesophiles,rasff
metal particles,rasff
metalaxyl,rasff
metanil  yellow,usp
metanil yellow,ema
metanil yellow,usp
metanil yellow (color additive),usp
metanil yellow dye,usp
metformin,usp
methamidophos,rasff
methanol,ema
methanol,rasff
methanol,usp
methionine,usp
methyl alcohol,usp
methyl alcohol,ema
methyl chavicol and linalol,usp
methyl isocyanate,rasff
methyl n-methyl anthranilate,usp
methyl p-hydroxybenzoate,usp
methyl p-hydroxybenzoate (antimicrobial compound),usp
methyl-p-hydroxybenzoate,rasff
"methyl-synephrine, phenethylamine",rasff
methylsulphonylmethane,rasff
mexican shrimp,ema
mezcal of non-authentic age/grade,usp
microbiological contamination,rasff
microcrystalline wax,rasff
milk,rasff
milk (bovine),usp
milk (caprine),usp
milk (cow),usp
"milk (fluid, cow)",usp
"milk (fluid, water buffalo)",usp
milk (non-authentic species),usp
milk (ovine),usp
milk (water buffalo),usp
milk drink,rasff
milk drink containing melamine,rasff
milk from non-authentic animal species,usp
milk from non-authentic geographic origin,usp
milk from non-authentic heat process,usp
milk from non-authentic species,usp
milk ingredients (cow),usp
milk ingredients (water buffalo),usp
milk low on fat and 'solids not fat' content,ema
milk of non-authentic geographic origin,usp
milk powder,usp
milk powder,ema
milk powder and non-potable water,usp
milk powders,ema
milk proteins,usp
milk proteins,ema
millet,usp
millet seeds,usp
mineral oil,ema
mineral oil,rasff
mineral oil,usp
mineral oil contaminated with ortho-cresyl-phosphate,usp
mineral oil used,rasff
mineral oils,ema
mink,ema
misbranded beverages,ema
misbranded chicken,ema
misgurnus anguillicaudatus,ema
mislabeled beef products,ema
mislabeled circassian cheese,ema
mislabeled extra virgin olive oil,ema
mislabeled fresh meat product,ema
mislabeled halal beef,ema
mislabeled halal product,ema
mislabeled ham,ema
mislabeled meat,ema
mislabeled milk,ema
mislabeled pre-packaged foods,ema
mislabeled product marked as usda certified ground beef,ema
mislabeled sunflower oil,ema
mislabelled canned tuna,ema
mixing palm oil,ema
"mixture of beef-tallow, stearine, and flavor",usp
"mixture of beet sugar, corn sugar, monosodium glutamate, ascorbic acid, potassium sulfate, orange pulp wash, grapefruit solids, and a byproduct from a water distillation system",usp
"mixture of beet sugar, pulp wash, amino and citric acids, and natamycin",usp
mixture of glucose and fructose,usp
mixture of high-fructose corn syrup and water,usp
mixture of potato and plastic resin,usp
"mixture of soybean oil, vegetable oil, butter and turmeric",usp
mixture of sugar (cane or corn) and water,usp
"mixture of sugar (corn, beet, or cane) and water",usp
mixture of sugars (c4 derived),usp
"mixture of sunflower oil, chlorophyll, and beta-carotene",usp
mixture of water and sweeteners,usp
"mixture of water, sweeteners, and preservatives",usp
"mixture of water, sweeteners, flavorings, and colors",usp
molasses,usp
molasses,ema
mold,ema
molybdenum amino acid chelate,rasff
molybdenum chelate,rasff
monoethylene glycol,rasff
monosodium glutamate,rasff
monoterpene hydrocarbons,usp
"monoterpene sulphide fractions synthesised from the hydrogen sulphide treatment of pulegone, including p-menthan-8- thiol-3-one",usp
montan acid esters,rasff
morphine,rasff
morpholine,rasff
motor oil,usp
mushroom of non-authentic botanical origin (hygrophoropsis aurantiaca),usp
mushroom of non-authentic botanical origin (suillus luteus),usp
must concentration,usp
mustard oil,usp
mustard seed husk,usp
mutton,ema
mutton fat,usp
mutton of non-authentic geographic origin,usp
mutton snapper,ema
mycotoxin,fda
myrtle leaves,ema
n-acetylcysteine,rasff
n-didesmethyl sibutramine,rasff
n-homomenthyl salicilate,usp
naphthalene,rasff
naphthol yellow,usp
naphtol yellow,usp
narrowleaf plantain,ema
natamycin,rasff
natamycin,ema
neroli oil (citrus aurantium subsp. aurantium),usp
netuma thalassinus [common name giant whiskered fish or whiskered fish],ema
nickel,usp
nickel,rasff
"nickel, cobalt",rasff
nicotine,ema
nimesulide,rasff
nitrate,rasff
nitrate,usp
nitrates,rasff
nitrates,ema
nitrite,rasff
nitrites,rasff
nitrofuran,ema
nitrofurans,fda
"nitrogen containing fertilizers (urea, ammonia, or ammonia salts)",usp
non food-grade ingredient,rasff
non zam zam water,ema
non zamzam water,ema
non-authentic aroma compounds,usp
non-authentic botanical ingredients with flavanoids,usp
non-authentic brand,usp
non-authentic brand baby food,usp
non-authentic brand coffee,usp
non-authentic brand drink mix,usp
non-authentic brand of chicken stock,usp
non-authentic brand of scotch whiskey,usp
non-authentic brand of wine,usp
non-authentic citrus oil,usp
non-authentic citrus oils,usp
non-authentic country origin,usp
non-authentic cultivar,usp
non-authentic diluent,usp
non-authentic essential oil,usp
non-authentic fat,usp
non-authentic fats,usp
non-authentic fats or oils,usp
non-authentic fish species,usp
"non-authentic fruit juice concentrates such as mulberry, fig, and carob bean",usp
non-authentic geographic origin,usp
"non-authentic herbs (e.g., savory, thyme)",usp
non-authentic juice,usp
"non-authentic juices (e.g., grapefruit juice)",usp
"non-authentic juices, sugars, and acids",usp
non-authentic leaves,usp
"non-authentic leaves (e.g., sumac, cistus)",usp
non-authentic linalool and linalyl acetate,usp
non-authentic manufacturer,usp
non-authentic material,usp
non-authentic materials,usp
non-authentic meat species,usp
non-authentic milk (bovine),usp
non-authentic milk (cow),usp
"non-authentic milk species (ovine, bovine, caprine, and water buffalo)",usp
non-authentic oil,usp
non-authentic oils,usp
non-authentic oils and fats,usp
non-authentic olive oils,usp
non-authentic organic acids,usp
non-authentic rice variety,usp
non-authentic species,usp
non-authentic species dyed with tartrazine and ponceau 2r,usp
non-authentic species of fish,usp
non-authentic spirit or geographic origin,usp
non-authentic spirits,usp
non-authentic substances,usp
non-authentic sugars,usp
non-authentic sweeteners,usp
non-authentic varietal,usp
non-authentic variety,usp
non-authentic vodka,usp
non-authentic wine,usp
non-dairy fats and oils,usp
non-dioxin-like polychlorobifenyls,rasff
non-edible ghee,ema
non-edible oils mixed with butter yellow and artificial flavor,usp
non-food grade milk powder,ema
non-free range eggs,ema
non-halal beef,ema
non-hungarian paprika,ema
non-italian oils,ema
non-kona coffee beans,ema
non-kosher certified olive oil,ema
non-maryland blue crab,ema
non-organic alfalfa,ema
non-organic barley,ema
non-organic corn,ema
non-organic eggs,ema
non-organic field beans,ema
non-organic field peas,ema
non-organic grain,ema
non-organic ingredients,ema
non-organic linseed,ema
non-organic milk,usp
non-organic millet,ema
non-organic oats,ema
non-organic pork,ema
non-organic potatoes,ema
non-organic rapeseed,ema
non-organic sorghum,ema
non-organic soybeans,ema
non-organic sunflower,ema
non-organic wheat,ema
non-parmesan cheese,ema
non-permitted grape varieties,ema
"non-pomegranate anthocyanins from aronia, grape skin, elderberry, black currant, or black carrot",usp
non-potable water,usp
non-spanish saffron,ema
non-stamen crocus parts,ema
non-stigma parts of crocus sativus linnaeus,usp
non-wild honey,ema
non-wuchang rice,ema
none,ema
nonvolatile residue of grapefruit oil,usp
nonvolatile residue of lime oil,usp
noodles with less than 50% rice,ema
nor-acetildenafil,rasff
norbixin,usp
nordihydroguaiaretic acid,rasff
norfloxacin,ema
not specified,ema
novel food,rasff
"novel food ingredient achyranthes aspera, potassium aspartate",rasff
novel food ingredient betaine,rasff
"novel food ingredient betaine, tocotrienol, methylcobalamin",rasff
novel food ingredient creatine derivative,rasff
novel food ingredient epimedium,rasff
novel food ingredient ginseng,rasff
novel food ingredient gymnema syvestre,rasff
novel food ingredient gynostemma pentaphyllum,rasff
"novel food ingredient gynostemma pentaphyllum, novel food ingredient milk thistle",rasff
"novel food ingredient hemidesmus indicus, novel food ingredient hydrastis canadensis",rasff
novel food ingredient mucuna pruriens,rasff
"novel food ingredient rhodiola rosea, citrulline",rasff
"nutmeg terpenes, a-pinene, limonene, and turpentine fractions",usp
nutrients,rasff
nuts of non-authentic botanical or geographic origin,usp
o. vulgaris,ema
octopamine hydrochloride,rasff
octopus vulgaris,ema
offal,usp
oil,usp
oil from non-authentic botanical origin,usp
oil from non-authentic botanical origin rich in linoleic acid,usp
oil from non-authentic botanical/varietal origin,usp
oil from non-authentic origin,usp
oil from non-authentic species,usp
oil made from animal carcass and fat,ema
oil of non-authentic botanical origin,usp
oil residues from cold extraction of bergamot,usp
oil residues from cold extraction of bergamot combined with synthetic compounds,usp
oil-contaminated cocoa beans,rasff
oil-contaminated pe-hd granules,rasff
oil-pollution,rasff
oil-soluble coloring agent,ema
oils of non-authentic botanical or geographic origin,usp
oils of non-authentic botanical origin,usp
oils of non-authentic origin,usp
oleic acid,ema
olive leaves,ema
olive oil,usp
olive oil from non-authentic botanical origin,usp
olive oil from non-authentic geographic origin,usp
olive oil of non-authentic geographic origin,usp
olive oil or olive pomace oil,usp
olive oil with a high free fatty acid content,ema
olive oils of non-authentic botanical or geographic origin,usp
olive oils of non-authentic geographic origin,usp
olive pomace oil,ema
olive pomace oil,usp
olives (coquillo cultivar),usp
olives (leccino cultivar),usp
onion dyed with ecosin,usp
opah,ema
opium,ema
opium poppy seeds,ema
optical whitener,ema
orange juice from non-authentic botanical origin,usp
orange juice of non-authentic geographic origin,usp
orange pulp wash,ema
orange pulpwash,ema
orange pulpwash,usp
orange pulpwash plus synthetic sugar/acid mixture,usp
orange terpenes or sweet orange oil distilled and minor amounts of (+)-nootkatone,usp
"orange terpenes, lemon terpenes, and by-products (e.g., steam-stripped lemon oil)",usp
organic germanium,rasff
organic/rotten tomatoes,ema
orthophenylphenol,rasff
"other ""non natural"" ingredients",ema
other actea and cimicifuga species,usp
other beef types,ema
other chemicals,ema
"other citrus leaf oils and fractions, fatty aldehydes, linalyl acetate, and orange terpenes",usp
other fish species,ema
other game meats,ema
other meats,ema
other varieties of cheese,ema
ouzo,rasff
overdosage with nicotinic acid,rasff
ovine,ema
ox offal tissue (kidney or liver),usp
oxytocin,usp
oxytocin,ema
p-aminobenzoic acid,usp
"pacific dog snapper (lutjanus
novemfasciatus)",usp
pacific ocean perch,ema
pacific rockfish,usp
paddlefish roe,usp
paddlefish roe,ema
paddy husk,ema
palm kernel oil,usp
palm kernel oil,ema
palm kernel olein,usp
palm oil,usp
palm oil,ema
palm oil (desterolilzed),usp
palmolein,ema
pampus punctatissimus,ema
panax quinquefolius,usp
pangasius,ema
"pangasius ""catfish"" (pangasius
hypophthalmus)",usp
pangasius hypophthalmus,ema
pangasius hypophthalmus imports from vietnam,ema
papain,rasff
papaya or other non-authentic plant seeds,usp
papaya seed,usp
papaya seeds,ema
papaya seeds,usp
paper,usp
paprika extract,ema
paprika extract (color),usp
paprika of non-authentic geographic origin,usp
para red,ema
para-cymene and carvacrol,usp
para-cymene and thymol,usp
para-toluene sulphonamide,rasff
paraffin,rasff
paraffin coating,rasff
paraffin oil,usp
paraffin oil,rasff
paraffin wax,usp
paraffin wax,ema
partial invert cane syrup,usp
patagonian toothfish,usp
patchouli and vetiver distillation residues,usp
"patchouli oil, vetiver oil, and to some extent ginger oil",usp
patent blue v,usp
patulin,fda
pea,usp
pea flour,usp
pea protein,usp
peach kernels,usp
peanut,usp
peanut flavor,usp
peanut oil,usp
peanut powder,ema
peanut shell,usp
peanut shells,usp
peanuts,ema
pear juice,usp
pear seed,usp
pecan nuts,rasff
penicillin,ema
pentapotassium triphosphate,rasff
perch,ema
perchlorate,rasff
perilla oil,usp
peroxide,rasff
peroxide value,rasff
"persipan (mixture of bitter almonds, apricot, or peach kernels)",usp
pesticide,fda
pesticide residues,rasff
pet food,ema
petals of carthamus tinctorius l. or calendula officinalis l.,usp
petals of cynara cardunculus mixed with glyceroborate and potassium nitrate and color with red dye,usp
petitgrain oil terpeneless (citrus aurantium subsp. aurantium),usp
petroleum,usp
petroleum hydrocarbons,rasff
phaseolus vulgaris beans,usp
phenolphthalein,rasff
phenoxyethanol,rasff
phenylalanine,rasff
phenylalanine,usp
phosphate,rasff
phosphates,ema
phosphoric acid,rasff
phosphoric acid,ema
picric acid color,usp
pig fat,usp
pig hearts,ema
pig offal,ema
pig's blood,ema
pigments,ema
pilocarpine hydrochloride,ema
pineapple juice,usp
pink ear emperor,ema
"piper berries (p. attenuatum, p. galeatum)",usp
piperidenafil,rasff
pistachio,usp
plain caramel,rasff
plant hormone,ema
plant material,ema
plant parts,rasff
plant proteins,usp
plastic,usp
plum fruit (prunus salicina),usp
plum juice,usp
plum puree,usp
plum sclereids,ema
polish ham,ema
pollachius virens,ema
pollack,ema
pollock,ema
polybutadiene,rasff
polychlorobifenyls,rasff
polycyclic aromatic hydrocarbons,rasff
polycyclic aromatic hydrocarbons (pahs),ema
polyphosphates,rasff
polysorbates,rasff
pomegranate fiber,usp
ponceau 4r,usp
ponceau 4r / cochineal red a,rasff
poor quality infant formula,ema
poplar tree gum,usp
poppy petals,usp
porcine,ema
porcine bones,ema
porcine gristle,ema
pork,usp
pork,ema
pork fat,usp
pork from diseased pig,ema
pork jowl,ema
pork lard,usp
pork marinated in beef extract and glazing agent,usp
pork meat,ema
pork meat,usp
portuguese sole [synaptura lusitanica],ema
possible canola oil,ema
possible low quality oil,ema
possible rapeseed oil,ema
potassium aspartate,rasff
potassium dichromate,ema
potassium ferrocyanide,rasff
potassium hydroxide,usp
potassium nitrate,usp
potassium sorbate,rasff
potassium sorbate,ema
potato,ema
potato flour,usp
potato products,rasff
potato starch,usp
potatoes,ema
potentially depc,ema
potentially natamycin,ema
potentially oleum320/idea,ema
poultry,ema
powdered coloring agent,ema
powdered horse dung,usp
powdered stone,usp
powdered ziziphus nummularia fruit,usp
prepared dishes,rasff
preservatives,ema
previously used tea leaves,usp
printing chemicals,ema
prionace glauca [market names: shark or blue shark],ema
processed animal fat (gutter oil),usp
processed animal proteins,usp
progesterone,rasff
proline,usp
propionic acid,rasff
propolis of non-authentic geographic origin,usp
propyl p-hydroxybenzoate,rasff
propyl p-hydroxybenzoate (antimicrobial compound),usp
propylene glycol,rasff
prostrate knotweed,ema
protein,rasff
protein powder,usp
prussian blue,usp
pseudomonas aeruginosa,rasff
pseudoplastytoma tigrinum [common name caparari],ema
pseudovardenafil,rasff
puffer fish,ema
puffer fish,usp
pulverized lime,ema
pulverized lime,usp
pumpkin puree,usp
pure alcohol,ema
putna rice,ema
pvc,rasff
quercetin,usp
quicksilver,rasff
quinoline dye,usp
quinoline yellow,rasff
quinoline yellow,usp
radioactive oregano,ema
radioactive polonium,ema
rainbow trout,ema
raisin sweetener,usp
rajgeera (amaranthus paniculatas),usp
raman,usp
rancid cooking oil,usp
rape,ema
rapeseed oil,usp
rat,ema
rat meat and fox meat,usp
rat poison,ema
reconstituted bergamot oil,usp
reconstituted milk powder,usp
reconstituted orange juice,usp
"reconstructions using damascones, beta-ionone plus -citronellol and other rose alcohols, plus rose steroptenes",usp
recovered oils,usp
recycled vegetable oil,usp
red 2g,usp
red 2g,rasff
red clay,usp
red currant juice,usp
red grape juice,usp
red lead,usp
red oxide paint,ema
red pigment,ema
red vetch [blanche fleur (v. sativa)],usp
red wine,rasff
red wine of non-authentic botanical origin,usp
red-dyed silk fiber,usp
refined beef tallow,usp
refined edible oil,usp
refined oil,usp
refined oil,ema
refined oils,usp
refined olive oil,ema
refined palm stearin,usp
refined rice bran oil,usp
refined vegetable oil,ema
regular fat and calorie cinnamon rolls,ema
regular fat and calorie cookies,ema
regular fat and calorie doughnuts,ema
reinhardtius hippoglossoides,ema
rennet whey proteins,usp
reprocessed industrial rapeseed oil containing aniline,usp
residue level above mrl for copper,rasff
resin,usp
resin,ema
rhodamine b,usp
rhodamine b,rasff
rhodamine b,ema
rhubarb compote,usp
ribe rice,ema
rice,ema
rice brawn oil,ema
rice flour,ema
rice flour,usp
rice from heilongjiang province,ema
rice from hubei province,ema
rice from jiangsu province,ema
rice from non-authentic botanical origin,usp
rice from non-authentic geographic origin,usp
rice granules,ema
rice husk and castor oil base,usp
rice husk and wood fiber,usp
rice of non-authentic botanical origin,usp
rice powder,usp
rice starch,usp
rice sugar,ema
rice syrup,usp
road salt,usp
roasted barley,usp
roasted beans,usp
roasted corn,usp
roasted date seeds,usp
roasted grains,usp
roasted soybeans,usp
"roasted, ground barley",usp
"roasted, ground corn",usp
"roasted, ground parchment",usp
robusta coffee,usp
rockfish,usp
rockfish,ema
rocu dye,ema
root of non-authentic botanical origin,usp
roots of allium porrum l.,usp
rose snapper,ema
rosin and petroleum,usp
rotten fruit,ema
rotten pork,ema
rotten wheat,ema
royal jelly produced from non-authentic saccharide sources,usp
rubbing alcohol,ema
russian caviar,ema
rye flour,usp
sablefish (anaplopoma finbira),usp
saccharin,rasff
saccharin,ema
saccharin sodium,ema
saccharine,ema
"saffron impregnated with syrups, glycerin, or oils",usp
saffron of non-authentic geographic origin,usp
saffron petals,usp
"saffron stamens or styles, or stigmas from other crocus species such as marigolds",usp
saffron with artificially increased water content,usp
saigon beer,ema
saithe,ema
"saithe (pollachius
virens)",usp
salicylic acid,ema
salicylic acid,rasff
salicylic acid,usp
"salmon (atlantic, farm-raised)",usp
salmon (china origin),usp
salmon (chinese),usp
salmon (farm-raised),usp
salmon roe,usp
salmonella,ema
salmonella,fda
salmonella enteriditis,ema
salmonella hadar,rasff
salmonella typhimurium bacteria,ema
salt,usp
salt,ema
salt,rasff
salted boneless skinless chicken breast contaminated with diesel oil during transport,rasff
saltpeter,usp
samak,ema
sand,usp
sand,ema
sand and talcum,usp
sand sole,ema
"sand, marble, or stones",usp
sandalwood dye,usp
sandalwood terpenes and sandalwood fragrance chemicals,usp
sandlewood dust,usp
sardines,usp
saw dust,usp
sawdust,usp
sawdust and jiegeng (platycodon grandiflorum),usp
scallop-flavored seafood nuggets,ema
scamp grouper,ema
scented and colored resin,usp
sciaenidae,ema
scomberomorus niphonius,ema
sea bass,usp
seabream (pagrus major),usp
sedatives,ema
seed oil,usp
seed oil,ema
seed oils,usp
seignette's salt,usp
selenium,rasff
semicarbazide,rasff
semicarbazide,usp
"semolina, rice flour, and sodium bicarbonate",usp
semoline,ema
senegalese sole,ema
senegalese tonguesole [cynoglossus senegalensis],ema
senna alexandrina mill.,rasff
serine,usp
sesame meal,usp
sesame oil,usp
sesame oil of non-authentic geographic origin,usp
sewage water,ema
sharbetti rice,ema
sheep meat,ema
sheep milk,ema
shell eggs (barn raised),usp
shell eggs (caged),usp
shell eggs (conventional),usp
shell eggs of non-authentic geographic origin,usp
shigella,fda
shiraz wine of non-authentic geographic origin,usp
shortfin mako shark,ema
shovelnose sturgeon,ema
shrimp (chinese),usp
shrimp from thailand,ema
"shrimp from thailand, malaysia, or indonesia",usp
shrimp of non-authentic geographic origin,usp
sibutramine,rasff
sibutramine,usp
sibutramine suspected,rasff
sildenafil,ema
sildenafil,rasff
sildenafil thiono analogue,rasff
"sildenafil thiono analogues, tadalafil",rasff
"sildenafil, sildenafil thiono analogue",rasff
silk snapper,usp
silver,rasff
singhada,ema
sinopol (a detergent),ema
skim milk powder (reconstituted),usp
skim milk powder (reconstituted),usp
skimmed milk powder,usp
skimmed milk powder,ema
skins,ema
skipjack,usp
slinger seabream,ema
smell,rasff
smoke flavouring,rasff
smoked hams,rasff
smoked paprika from non-authentic geographic origin,usp
smoked whiting,ema
smooth amaranth,ema
smuggled beef,ema
smuggled beluga caviar,ema
smuggled frozen meat,ema
snapper,usp
snapper,ema
soap stone,usp
soda,usp
soda lye,rasff
sodium,ema
sodium,rasff
sodium alginate,ema
sodium aluminium phosphate,rasff
sodium azide,rasff
sodium benzoate,rasff
sodium benzoate fortified orange pulpwash,usp
sodium carbonate,usp
sodium carbonates,rasff
sodium chloride,ema
sodium chloride,usp
sodium citrate,ema
sodium citrate peroxide,ema
sodium copper chlorophyllin,ema
sodium cyclamate,ema
sodium dichromate,ema
sodium dodecylbenzene sulfonate,usp
sodium erythorbate,rasff
sodium hydro sulphate,ema
sodium hydroxide,ema
sodium hydroxide,usp
sodium hydroxide,rasff
sodium metabisulfite,ema
sodium metabisulfite,rasff
sodium methyl p-hydroxybenzoate,rasff
sodium nitrate,rasff
sodium nitrite,ema
sodium nitrite,rasff
sodium propyl p-hydroxybenzoate,rasff
sodium sorbate,rasff
sodium sulfate,usp
sodium tripolyphosphate,ema
sodium-based compound,ema
sodium-based water retention agent and water,usp
soft wheat,usp
soil,ema
sole,ema
solution,rasff
solution of d-fructose and d-glucose,usp
some powders,ema
some unknown chemicals,ema
sorbic acid,ema
sorbic acid,rasff
sorbitan tristearate,rasff
sorbitol,usp
sorbitol,ema
"sorbitol-containing fruit juices (e.g., apple, pear, cherry, or aronia",usp
soy,ema
soy,usp
soy flour,usp
soy milk,usp
soy oil,usp
soy oil,ema
soy protein,ema
soy protein,usp
soy sauce derived from acid hydrolyzed vegetable protein,usp
soya,rasff
soya oil,ema
soybean,ema
soybean,usp
soybean flour,usp
soybean meal,usp
soybean oil,usp
soybean oil,ema
soybean oil (desterolilzed),usp
soybean powder,usp
soybean protein,usp
soybeans,ema
soymilk,usp
spanish extra virgin olive oil,ema
spanish olive oil,ema
spent black pepper meal,usp
spice powder from non-authentic botanical/varietal origin,usp
spices,ema
spike lavender oil (lavandula latifolia),usp
spinach absolute (spinacia oleracea),usp
spiny dogfish,ema
spoiled pork,ema
squalus acanthias [market names: shark,ema
squid (dosidicus gigas),usp
squid (eledone cirrhosa),usp
squirefish (porgy),ema
stachytarpheta jocaicensis,usp
stamens of carnation species,usp
stanozolol,rasff
staphylococcus,ema
staphylococcus aureus,ema
star anise oil (illicium verum),usp
star-studded grouper,ema
starch,ema
starch,usp
stearic acid,usp
stem and chaff of black pepper,usp
stigma from non-authentic species of crocus,usp
stigma of corn silk,usp
stigmas from non-authentic crocus botanical origin (crocus vernus l.; crocus especiousus l.),usp
stinking chamomile,ema
stolen baby food,ema
stolen baby formula,ema
stolen california walnuts,ema
stolen infant formula,ema
stolen liquor,ema
stolen maple syrup,ema
stolen muenster cheese,ema
stolen strawberries,ema
stolen wine,ema
stone powder,ema
stone powder and chalk,usp
straw,ema
strawberry juice,usp
striped catfish [pangasianodon hypophthalmus],ema
strontium,rasff
strychnine,rasff
sturgeon caviar,ema
styrene,rasff
sub-standard rice,ema
substandard mawa,ema
substandard oil,ema
substandard oil,usp
substandard sugar,ema
substandard water,ema
succinic acid,rasff
sucralose,rasff
sucrose,usp
sucrose,ema
sucrose solution,usp
sucrose syrup,usp
sudan 1,ema
sudan 1 and 4 dyes,usp
sudan dyes,usp
sudan dyes,ema
sudan i,ema
sudan i dye,usp
"sudan i, ii, iii, or iv dyes",usp
sudan ii dye,usp
sudan iii dye,usp
sudan iv,ema
sudan iv dye,usp
sudan red,ema
sudan red dyes,usp
sudan red i dyes,usp
sugar,ema
sugar,usp
sugar and sodium sulfate,usp
sugar and water,usp
sugar of non-authentic geographic origin,usp
sugar solution,usp
sugar syrup,usp
sugar syrup,ema
sugar syrups,usp
"sugar syrups from corn, sugar cane, sugar beet, and maple syrup",usp
sugars,usp
sugars (corn- or cane-derived),usp
sulfadimethoxine,ema
sulfite,rasff
"sulfite, milk ingredient, mustard",rasff
"sulfite, soya",rasff
sulfites,fda
sulfur dioxide,ema
sulfur dioxide,usp
sulfuric acid,usp
sulphuric acid,ema
sultana grapes,ema
sumac,ema
sunflower oil,usp
sunflower oil,ema
sunflower oil (desteroled),usp
sunflower oil (desterolilzed),usp
sunset yellow,usp
sunset yellow dye,usp
sunset yellow fcf,rasff
supermarket honey,ema
surimi-based artificial crab meat,usp
sutchi,ema
swai,ema
swai fish,ema
sweet corn flavor,ema
sweet orange oil,usp
sweet orange oil,ema
"sweet orange oil (citrus sinensis) and orange terpenes, plus trace amounts of character compounds",usp
sweet orange oil brazil,usp
sweet orange oil with added (-)-limonene,usp
sweet potato,ema
sweetener neotame,rasff
sweetlips,ema
swill or gutter oil (refined oil from recycled food and livestock waste),usp
swill-cooked dirty oil,ema
synephrine,rasff
synthetic allyl isothiocyanate,usp
"synthetic benzaldehde, eugenol, and cinnamic aldehyde",usp
synthetic benzaldehyde,usp
synthetic butter additives,ema
"synthetic cinnamic aldehyde, methyl cinnamic aldehyde, and coumarin",usp
synthetic color,usp
synthetic color additives,usp
synthetic colors,usp
synthetic decanal,usp
synthetic dyes,usp
synthetic e-2-hexanal,usp
synthetic e-2-hexenol,usp
synthetic estragole,usp
synthetic ethyl butyrate,usp
synthetic eugenol,usp
synthetic gamma- or delta-decalactone,usp
synthetic honey composed of water and non-authentic sweeteners,usp
synthetic linalool,usp
synthetic linalool and linalyl acetate,usp
synthetic linalyl acetate,usp
synthetic malic acid with beet sugar,usp
"synthetic mawa (refined oil, wheat flour, semolina, milk powder, potato, sweet potato, ground rice and chestnut powder)",usp
synthetic milk,usp
synthetic milk,ema
"synthetic milk (caustic soda, oil, salt, sugar, urea, detegent, water)",usp
"synthetic milk (urea, detergent, refined oil, caustic soda and white paint)",usp
"synthetic milk comprised of water, urea, soda, sucrose, vegetable oils, skim milk powder, detergent",usp
synthetic or semi-synthetic (e)-alpha-ionone,usp
synthetic or semi-synthetic (e)-beta-ionone,usp
synthetic or semi-synthetic alpha-ionone,usp
synthetic or semi-synthetic benzaldehyde,usp
synthetic or semi-synthetic beta-ionone,usp
synthetic or semi-synthetic cinnamaldehyde,usp
synthetic or semi-synthetic linalool,usp
synthetic or semi-synthetic methyl salicylate,usp
synthetic or semi-synthetic or p-hydroxybenzaldehyde,usp
synthetic or semi-synthetic raspberry ketone,usp
synthetic or semi-synthetic vanillin,usp
synthetic phenylalanine,usp
synthetic red dye azorubine (e122),ema
synthetic resin,ema
synthetic safranal,usp
synthetic tyrosine,usp
synthetic vanillin,usp
synthetically derived acetic acid,usp
syrup,ema
tadalafil,rasff
talc,usp
tallow,usp
